Time;Voltage;Current;Power;
19:12:55 13/06/2024;5.05;0.454;2.292;
19:12:56 13/06/2024;5.05;0.450;2.272;
19:12:56 13/06/2024;5.05;0.452;2.282;
19:12:57 13/06/2024;5.05;0.456;2.302;
19:12:57 13/06/2024;5.05;0.466;2.353;
19:12:58 13/06/2024;5.04;0.499;2.514;
19:12:58 13/06/2024;5.03;0.571;2.872;
19:12:59 13/06/2024;5.05;0.454;2.292;
19:12:59 13/06/2024;5.05;0.453;2.287;
19:13:00 13/06/2024;5.05;0.463;2.338;
19:13:00 13/06/2024;5.05;0.448;2.262;
19:13:01 13/06/2024;5.05;0.450;2.272;
19:13:01 13/06/2024;5.04;0.499;2.514;
19:13:02 13/06/2024;5.05;0.450;2.272;
19:13:02 13/06/2024;5.05;0.450;2.272;
19:13:03 13/06/2024;5.05;0.452;2.282;
19:13:03 13/06/2024;5.05;0.447;2.257;
19:13:04 13/06/2024;5.05;0.455;2.297;
19:13:04 13/06/2024;5.05;0.465;2.348;
19:13:05 13/06/2024;5.05;0.449;2.267;
19:13:05 13/06/2024;5.05;0.459;2.317;
19:13:06 13/06/2024;5.03;0.586;2.947;
19:13:06 13/06/2024;5.03;0.583;2.932;
19:13:07 13/06/2024;5.03;0.586;2.947;
19:13:07 13/06/2024;5.03;0.583;2.932;
19:13:08 13/06/2024;5.04;0.537;2.706;
19:13:08 13/06/2024;5.02;0.695;3.488;
19:13:09 13/06/2024;5.05;0.456;2.302;
19:13:09 13/06/2024;5.05;0.456;2.302;
19:13:10 13/06/2024;5.05;0.464;2.343;
19:13:10 13/06/2024;5.05;0.471;2.378;
19:13:11 13/06/2024;5.04;0.494;2.489;
19:13:11 13/06/2024;5.04;0.533;2.686;
19:13:12 13/06/2024;5.03;0.601;3.023;
19:13:12 13/06/2024;5.03;0.630;3.168;
19:13:13 13/06/2024;5.04;0.524;2.640;
19:13:13 13/06/2024;5.05;0.467;2.358;
19:13:14 13/06/2024;5.05;0.459;2.317;
19:13:14 13/06/2024;5.05;0.461;2.328;
19:13:15 13/06/2024;5.05;0.470;2.373;
19:13:15 13/06/2024;5.05;0.469;2.368;
19:13:16 13/06/2024;5.05;0.451;2.277;
19:13:16 13/06/2024;5.04;0.548;2.761;
19:13:17 13/06/2024;5.05;0.449;2.267;
19:13:17 13/06/2024;5.05;0.451;2.277;
19:13:18 13/06/2024;5.05;0.450;2.272;
