Time;Voltage;Current;Power;
19:13:18 13/06/2024;5.05;0.449;2.267;
19:13:19 13/06/2024;5.05;0.454;2.292;
19:13:19 13/06/2024;5.05;0.442;2.232;
19:13:20 13/06/2024;5.05;0.396;1.999;
19:13:20 13/06/2024;5.05;0.395;1.994;
19:13:21 13/06/2024;5.05;0.393;1.984;
19:13:21 13/06/2024;5.05;0.400;2.020;
19:13:22 13/06/2024;5.04;0.508;2.560;
19:13:22 13/06/2024;5.04;0.500;2.520;
19:13:23 13/06/2024;5.04;0.506;2.550;
19:13:23 13/06/2024;5.04;0.503;2.535;
19:13:24 13/06/2024;5.04;0.499;2.514;
19:13:24 13/06/2024;5.05;0.492;2.484;
19:13:25 13/06/2024;5.04;0.500;2.520;
19:13:25 13/06/2024;5.04;0.502;2.530;
19:13:26 13/06/2024;5.04;0.504;2.540;
19:13:26 13/06/2024;5.05;0.499;2.519;
19:13:27 13/06/2024;5.04;0.506;2.550;
19:13:27 13/06/2024;5.05;0.499;2.519;
19:13:28 13/06/2024;5.04;0.506;2.550;
19:13:28 13/06/2024;5.05;0.499;2.519;
19:13:29 13/06/2024;5.04;0.524;2.640;
19:13:29 13/06/2024;5.04;0.502;2.530;
19:13:30 13/06/2024;5.04;0.499;2.514;
19:13:30 13/06/2024;5.04;0.547;2.756;
19:13:31 13/06/2024;5.04;0.505;2.545;
19:13:31 13/06/2024;5.04;0.530;2.671;
19:13:32 13/06/2024;5.04;0.503;2.535;
19:13:32 13/06/2024;5.05;0.499;2.519;
19:13:33 13/06/2024;5.05;0.500;2.525;
19:13:33 13/06/2024;5.05;0.495;2.499;
19:13:34 13/06/2024;5.05;0.496;2.504;
19:13:34 13/06/2024;5.05;0.497;2.509;
19:13:35 13/06/2024;5.05;0.499;2.519;
19:13:35 13/06/2024;5.05;0.499;2.519;
19:13:36 13/06/2024;5.05;0.497;2.509;
19:13:36 13/06/2024;5.05;0.497;2.509;
19:13:37 13/06/2024;5.04;0.502;2.530;
19:13:37 13/06/2024;5.04;0.504;2.540;
19:13:38 13/06/2024;5.05;0.501;2.530;
19:13:38 13/06/2024;5.04;0.503;2.535;
19:13:39 13/06/2024;5.05;0.499;2.519;
19:13:39 13/06/2024;5.05;0.500;2.525;
19:13:40 13/06/2024;5.05;0.498;2.514;
19:13:40 13/06/2024;5.05;0.503;2.540;
19:13:41 13/06/2024;5.05;0.500;2.525;
19:13:41 13/06/2024;5.04;0.504;2.540;
19:13:42 13/06/2024;5.04;0.544;2.741;
19:13:42 13/06/2024;5.05;0.502;2.535;
19:13:43 13/06/2024;5.05;0.501;2.530;
19:13:43 13/06/2024;5.05;0.502;2.535;
19:13:44 13/06/2024;5.05;0.500;2.525;
19:13:44 13/06/2024;5.05;0.494;2.494;
19:13:45 13/06/2024;5.05;0.499;2.519;
19:13:45 13/06/2024;5.04;0.510;2.570;
19:13:46 13/06/2024;5.04;0.515;2.595;
19:13:46 13/06/2024;5.04;0.507;2.555;
19:13:47 13/06/2024;5.05;0.498;2.514;
19:13:47 13/06/2024;5.04;0.503;2.535;
19:13:48 13/06/2024;5.05;0.500;2.525;
19:13:48 13/06/2024;5.05;0.499;2.519;
19:13:49 13/06/2024;5.05;0.500;2.525;
19:13:49 13/06/2024;5.05;0.502;2.535;
19:13:50 13/06/2024;5.05;0.507;2.560;
19:13:50 13/06/2024;5.05;0.500;2.525;
19:13:51 13/06/2024;5.05;0.499;2.519;
19:13:51 13/06/2024;5.04;0.503;2.535;
19:13:52 13/06/2024;5.05;0.500;2.525;
19:13:52 13/06/2024;5.05;0.501;2.530;
19:13:53 13/06/2024;5.05;0.500;2.525;
19:13:53 13/06/2024;5.04;0.504;2.540;
19:13:54 13/06/2024;5.05;0.501;2.530;
19:13:54 13/06/2024;5.05;0.501;2.530;
19:13:55 13/06/2024;5.04;0.555;2.797;
19:13:55 13/06/2024;5.05;0.502;2.535;
19:13:56 13/06/2024;5.04;0.515;2.595;
19:13:56 13/06/2024;5.04;0.520;2.620;
19:13:57 13/06/2024;5.05;0.502;2.535;
19:13:57 13/06/2024;5.05;0.499;2.519;
19:13:58 13/06/2024;5.04;0.505;2.545;
19:13:58 13/06/2024;5.05;0.498;2.514;
19:13:59 13/06/2024;5.05;0.505;2.550;
19:13:59 13/06/2024;5.05;0.498;2.514;
19:14:00 13/06/2024;5.05;0.505;2.550;
19:14:00 13/06/2024;5.05;0.500;2.525;
19:14:01 13/06/2024;5.05;0.500;2.525;
19:14:01 13/06/2024;5.05;0.500;2.525;
19:14:02 13/06/2024;5.05;0.499;2.519;
19:14:02 13/06/2024;5.05;0.493;2.489;
19:14:03 13/06/2024;5.05;0.501;2.530;
19:14:03 13/06/2024;5.04;0.546;2.751;
19:14:04 13/06/2024;5.05;0.493;2.489;
19:14:04 13/06/2024;5.04;0.560;2.822;
19:14:05 13/06/2024;5.05;0.503;2.540;
19:14:05 13/06/2024;5.04;0.518;2.610;
19:14:06 13/06/2024;5.04;0.516;2.600;
19:14:06 13/06/2024;5.04;0.531;2.676;
19:14:07 13/06/2024;5.04;0.582;2.933;
19:14:07 13/06/2024;5.05;0.501;2.530;
19:14:08 13/06/2024;5.03;0.609;3.063;
19:14:08 13/06/2024;5.05;0.501;2.530;
19:14:09 13/06/2024;5.05;0.498;2.514;
19:14:09 13/06/2024;5.04;0.538;2.711;
19:14:10 13/06/2024;5.04;0.507;2.555;
19:14:10 13/06/2024;5.04;0.556;2.802;
19:14:11 13/06/2024;5.05;0.499;2.519;
19:14:11 13/06/2024;5.05;0.502;2.535;
19:14:12 13/06/2024;5.05;0.494;2.494;
19:14:12 13/06/2024;5.05;0.501;2.530;
19:14:13 13/06/2024;5.05;0.500;2.525;
19:14:13 13/06/2024;5.04;0.525;2.646;
19:14:14 13/06/2024;5.05;0.498;2.514;
19:14:14 13/06/2024;5.05;0.499;2.519;
19:14:15 13/06/2024;5.05;0.498;2.514;
19:14:15 13/06/2024;5.04;0.502;2.530;
19:14:16 13/06/2024;5.05;0.500;2.525;
19:14:16 13/06/2024;5.05;0.503;2.540;
19:14:17 13/06/2024;5.05;0.499;2.519;
19:14:17 13/06/2024;5.04;0.527;2.656;
19:14:18 13/06/2024;5.05;0.505;2.550;
19:14:18 13/06/2024;5.04;0.533;2.686;
19:14:19 13/06/2024;5.05;0.502;2.535;
19:14:19 13/06/2024;5.05;0.499;2.519;
19:14:20 13/06/2024;5.05;0.496;2.504;
19:14:20 13/06/2024;5.05;0.498;2.514;
19:14:21 13/06/2024;5.05;0.510;2.575;
19:14:21 13/06/2024;5.05;0.500;2.525;
19:14:22 13/06/2024;5.05;0.500;2.525;
19:14:22 13/06/2024;5.05;0.497;2.509;
19:14:23 13/06/2024;5.05;0.506;2.555;
19:14:23 13/06/2024;5.05;0.502;2.535;
19:14:24 13/06/2024;5.05;0.494;2.494;
19:14:24 13/06/2024;5.04;0.529;2.666;
19:14:25 13/06/2024;5.05;0.502;2.535;
19:14:25 13/06/2024;5.05;0.498;2.514;
19:14:26 13/06/2024;5.05;0.501;2.530;
19:14:26 13/06/2024;5.05;0.497;2.509;
19:14:27 13/06/2024;5.05;0.501;2.530;
19:14:27 13/06/2024;5.05;0.502;2.535;
19:14:28 13/06/2024;5.05;0.500;2.525;
19:14:28 13/06/2024;5.05;0.498;2.514;
19:14:29 13/06/2024;5.05;0.497;2.509;
19:14:29 13/06/2024;5.05;0.502;2.535;
19:14:30 13/06/2024;5.04;0.525;2.646;
19:14:30 13/06/2024;5.05;0.497;2.509;
19:14:31 13/06/2024;5.05;0.503;2.540;
19:14:31 13/06/2024;5.05;0.497;2.509;
19:14:32 13/06/2024;5.05;0.505;2.550;
19:14:32 13/06/2024;5.04;0.585;2.948;
19:14:33 13/06/2024;5.05;0.500;2.525;
19:14:33 13/06/2024;5.04;0.507;2.555;
19:14:34 13/06/2024;5.05;0.501;2.530;
19:14:34 13/06/2024;5.04;0.556;2.802;
19:14:35 13/06/2024;5.05;0.498;2.514;
19:14:35 13/06/2024;5.05;0.499;2.519;
19:14:36 13/06/2024;5.05;0.500;2.525;
19:14:36 13/06/2024;5.05;0.501;2.530;
19:14:37 13/06/2024;5.05;0.500;2.525;
19:14:37 13/06/2024;5.05;0.510;2.575;
19:14:38 13/06/2024;5.05;0.498;2.514;
19:14:38 13/06/2024;5.05;0.500;2.525;
19:14:39 13/06/2024;5.05;0.506;2.555;
19:14:39 13/06/2024;5.05;0.502;2.535;
19:14:40 13/06/2024;5.05;0.502;2.535;
19:14:40 13/06/2024;5.05;0.507;2.560;
19:14:41 13/06/2024;5.05;0.499;2.519;
19:14:41 13/06/2024;5.05;0.498;2.514;
19:14:42 13/06/2024;5.05;0.503;2.540;
19:14:42 13/06/2024;5.05;0.506;2.555;
19:14:43 13/06/2024;5.04;0.549;2.766;
19:14:43 13/06/2024;5.05;0.495;2.499;
19:14:44 13/06/2024;5.05;0.497;2.509;
19:14:44 13/06/2024;5.05;0.500;2.525;
19:14:45 13/06/2024;5.05;0.498;2.514;
19:14:45 13/06/2024;5.05;0.500;2.525;
19:14:46 13/06/2024;5.05;0.501;2.530;
19:14:46 13/06/2024;5.05;0.504;2.545;
19:14:47 13/06/2024;5.05;0.498;2.514;
19:14:47 13/06/2024;5.04;0.522;2.630;
19:14:48 13/06/2024;5.04;0.523;2.635;
19:14:48 13/06/2024;5.05;0.506;2.555;
19:14:49 13/06/2024;5.05;0.506;2.555;
19:14:49 13/06/2024;5.05;0.502;2.535;
19:14:50 13/06/2024;5.05;0.503;2.540;
19:14:50 13/06/2024;5.05;0.505;2.550;
19:14:51 13/06/2024;5.05;0.502;2.535;
19:14:51 13/06/2024;5.05;0.518;2.615;
19:14:52 13/06/2024;5.05;0.497;2.509;
19:14:52 13/06/2024;5.05;0.502;2.535;
19:14:53 13/06/2024;5.04;0.529;2.666;
19:14:53 13/06/2024;5.05;0.500;2.525;
19:14:54 13/06/2024;5.05;0.501;2.530;
19:14:54 13/06/2024;5.05;0.499;2.519;
19:14:55 13/06/2024;5.05;0.498;2.514;
19:14:55 13/06/2024;5.05;0.498;2.514;
19:14:56 13/06/2024;5.05;0.500;2.525;
19:14:56 13/06/2024;5.05;0.506;2.555;
19:14:57 13/06/2024;5.05;0.503;2.540;
19:14:57 13/06/2024;5.05;0.498;2.514;
19:14:58 13/06/2024;5.05;0.499;2.519;
19:14:58 13/06/2024;5.04;0.530;2.671;
19:14:59 13/06/2024;5.05;0.498;2.514;
19:14:59 13/06/2024;5.05;0.499;2.519;
19:15:00 13/06/2024;5.04;0.548;2.761;
19:15:00 13/06/2024;5.03;0.586;2.947;
19:15:01 13/06/2024;5.04;0.573;2.887;
19:15:01 13/06/2024;5.03;0.618;3.108;
19:15:02 13/06/2024;5.04;0.581;2.928;
19:15:02 13/06/2024;5.04;0.571;2.877;
19:15:03 13/06/2024;5.04;0.563;2.837;
19:15:03 13/06/2024;5.04;0.540;2.721;
19:15:04 13/06/2024;5.05;0.502;2.535;
19:15:04 13/06/2024;5.05;0.506;2.555;
19:15:05 13/06/2024;5.05;0.500;2.525;
19:15:05 13/06/2024;5.05;0.512;2.585;
19:15:06 13/06/2024;5.05;0.501;2.530;
19:15:06 13/06/2024;5.05;0.498;2.514;
19:15:07 13/06/2024;5.05;0.517;2.610;
19:15:07 13/06/2024;5.05;0.510;2.575;
19:15:08 13/06/2024;5.05;0.514;2.595;
19:15:08 13/06/2024;5.05;0.505;2.550;
19:15:09 13/06/2024;5.04;0.540;2.721;
19:15:09 13/06/2024;5.04;0.585;2.948;
19:15:10 13/06/2024;5.05;0.503;2.540;
19:15:10 13/06/2024;5.05;0.498;2.514;
19:15:11 13/06/2024;5.05;0.508;2.565;
19:15:11 13/06/2024;5.05;0.505;2.550;
19:15:12 13/06/2024;5.05;0.498;2.514;
19:15:12 13/06/2024;5.05;0.508;2.565;
19:15:13 13/06/2024;5.05;0.501;2.530;
19:15:13 13/06/2024;5.05;0.499;2.519;
19:15:14 13/06/2024;5.05;0.508;2.565;
19:15:14 13/06/2024;5.05;0.499;2.519;
19:15:15 13/06/2024;5.05;0.502;2.535;
19:15:15 13/06/2024;5.05;0.502;2.535;
19:15:16 13/06/2024;5.05;0.503;2.540;
19:15:16 13/06/2024;5.04;0.553;2.787;
19:15:17 13/06/2024;5.04;0.553;2.787;
19:15:17 13/06/2024;5.04;0.583;2.938;
19:15:18 13/06/2024;5.04;0.588;2.963;
19:15:18 13/06/2024;5.04;0.568;2.862;
19:15:19 13/06/2024;5.04;0.552;2.782;
19:15:19 13/06/2024;5.04;0.572;2.882;
19:15:20 13/06/2024;5.04;0.576;2.903;
19:15:20 13/06/2024;5.05;0.512;2.585;
19:15:21 13/06/2024;5.04;0.525;2.646;
19:15:21 13/06/2024;5.04;0.559;2.817;
19:15:22 13/06/2024;5.05;0.501;2.530;
19:15:22 13/06/2024;5.05;0.506;2.555;
19:15:23 13/06/2024;5.05;0.497;2.509;
19:15:23 13/06/2024;5.05;0.503;2.540;
19:15:24 13/06/2024;5.05;0.499;2.519;
19:15:24 13/06/2024;5.05;0.509;2.570;
19:15:25 13/06/2024;5.05;0.498;2.514;
19:15:25 13/06/2024;5.05;0.497;2.509;
19:15:26 13/06/2024;5.05;0.506;2.555;
19:15:26 13/06/2024;5.05;0.509;2.570;
19:15:27 13/06/2024;5.05;0.501;2.530;
19:15:27 13/06/2024;5.05;0.500;2.525;
19:15:28 13/06/2024;5.05;0.499;2.519;
19:15:28 13/06/2024;5.05;0.496;2.504;
19:15:29 13/06/2024;5.05;0.502;2.535;
19:15:29 13/06/2024;5.05;0.507;2.560;
19:15:30 13/06/2024;5.05;0.500;2.525;
19:15:30 13/06/2024;5.04;0.543;2.736;
19:15:31 13/06/2024;5.05;0.511;2.580;
19:15:31 13/06/2024;5.05;0.501;2.530;
19:15:32 13/06/2024;5.05;0.502;2.535;
19:15:32 13/06/2024;5.05;0.502;2.535;
19:15:33 13/06/2024;5.05;0.506;2.555;
19:15:33 13/06/2024;5.05;0.501;2.530;
19:15:34 13/06/2024;5.05;0.498;2.514;
19:15:34 13/06/2024;5.05;0.508;2.565;
19:15:35 13/06/2024;5.04;0.537;2.706;
19:15:35 13/06/2024;5.04;0.558;2.812;
19:15:36 13/06/2024;5.05;0.504;2.545;
19:15:36 13/06/2024;5.05;0.500;2.525;
19:15:37 13/06/2024;5.05;0.506;2.555;
19:15:37 13/06/2024;5.05;0.505;2.550;
19:15:38 13/06/2024;5.04;0.536;2.701;
19:15:38 13/06/2024;5.05;0.498;2.514;
19:15:39 13/06/2024;5.05;0.502;2.535;
19:15:39 13/06/2024;5.05;0.506;2.555;
19:15:40 13/06/2024;5.05;0.506;2.555;
19:15:40 13/06/2024;5.04;0.526;2.651;
19:15:41 13/06/2024;5.05;0.508;2.565;
19:15:41 13/06/2024;5.04;0.586;2.953;
19:15:42 13/06/2024;5.05;0.506;2.555;
19:15:42 13/06/2024;5.05;0.501;2.530;
19:15:43 13/06/2024;5.05;0.504;2.545;
19:15:43 13/06/2024;5.05;0.504;2.545;
19:15:44 13/06/2024;5.05;0.527;2.661;
19:15:44 13/06/2024;5.05;0.507;2.560;
19:15:45 13/06/2024;5.04;0.531;2.676;
19:15:45 13/06/2024;5.05;0.501;2.530;
19:15:46 13/06/2024;5.05;0.503;2.540;
19:15:46 13/06/2024;5.05;0.497;2.509;
19:15:47 13/06/2024;5.05;0.499;2.519;
19:15:47 13/06/2024;5.05;0.502;2.535;
19:15:48 13/06/2024;5.04;0.560;2.822;
19:15:48 13/06/2024;5.05;0.501;2.530;
19:15:49 13/06/2024;5.05;0.512;2.585;
19:15:49 13/06/2024;5.05;0.498;2.514;
19:15:50 13/06/2024;5.05;0.497;2.509;
19:15:50 13/06/2024;5.05;0.506;2.555;
19:15:51 13/06/2024;5.05;0.500;2.525;
19:15:51 13/06/2024;5.05;0.505;2.550;
19:15:52 13/06/2024;5.05;0.502;2.535;
19:15:52 13/06/2024;5.05;0.507;2.560;
19:15:53 13/06/2024;5.05;0.500;2.525;
19:15:53 13/06/2024;5.05;0.503;2.540;
19:15:54 13/06/2024;5.05;0.513;2.590;
19:15:54 13/06/2024;5.05;0.499;2.519;
19:15:55 13/06/2024;5.05;0.502;2.535;
19:15:55 13/06/2024;5.05;0.502;2.535;
19:15:56 13/06/2024;5.05;0.507;2.560;
19:15:56 13/06/2024;5.05;0.509;2.570;
19:15:57 13/06/2024;5.05;0.501;2.530;
19:15:57 13/06/2024;5.05;0.505;2.550;
19:15:58 13/06/2024;5.05;0.505;2.550;
19:15:58 13/06/2024;5.05;0.505;2.550;
19:15:59 13/06/2024;5.05;0.505;2.550;
19:15:59 13/06/2024;5.04;0.554;2.792;
19:16:00 13/06/2024;5.05;0.502;2.535;
19:16:00 13/06/2024;5.05;0.497;2.509;
19:16:01 13/06/2024;5.05;0.512;2.585;
19:16:01 13/06/2024;5.05;0.501;2.530;
19:16:02 13/06/2024;5.05;0.498;2.514;
19:16:02 13/06/2024;5.05;0.525;2.651;
19:16:03 13/06/2024;5.05;0.506;2.555;
19:16:03 13/06/2024;5.03;0.650;3.269;
19:16:04 13/06/2024;5.05;0.512;2.585;
19:16:04 13/06/2024;5.05;0.503;2.540;
19:16:05 13/06/2024;5.05;0.507;2.560;
19:16:05 13/06/2024;5.05;0.503;2.540;
19:16:06 13/06/2024;5.05;0.503;2.540;
19:16:06 13/06/2024;5.05;0.504;2.545;
19:16:07 13/06/2024;5.05;0.495;2.499;
19:16:07 13/06/2024;5.05;0.501;2.530;
19:16:08 13/06/2024;5.04;0.570;2.872;
19:16:08 13/06/2024;5.05;0.502;2.535;
19:16:09 13/06/2024;5.05;0.500;2.525;
19:16:09 13/06/2024;5.05;0.499;2.519;
19:16:10 13/06/2024;5.05;0.505;2.550;
19:16:10 13/06/2024;5.05;0.502;2.535;
19:16:11 13/06/2024;5.05;0.505;2.550;
19:16:11 13/06/2024;5.05;0.503;2.540;
19:16:12 13/06/2024;5.05;0.506;2.555;
19:16:12 13/06/2024;5.05;0.498;2.514;
19:16:13 13/06/2024;5.05;0.499;2.519;
19:16:13 13/06/2024;5.05;0.502;2.535;
19:16:14 13/06/2024;5.05;0.501;2.530;
19:16:14 13/06/2024;5.05;0.499;2.519;
19:16:15 13/06/2024;5.04;0.554;2.792;
19:16:15 13/06/2024;5.05;0.507;2.560;
19:16:16 13/06/2024;5.05;0.499;2.519;
19:16:16 13/06/2024;5.05;0.520;2.626;
19:16:17 13/06/2024;5.05;0.506;2.555;
19:16:17 13/06/2024;5.05;0.498;2.514;
19:16:18 13/06/2024;5.05;0.500;2.525;
19:16:18 13/06/2024;5.05;0.510;2.575;
19:16:19 13/06/2024;5.05;0.494;2.494;
19:16:19 13/06/2024;5.05;0.507;2.560;
19:16:20 13/06/2024;5.05;0.498;2.514;
19:16:20 13/06/2024;5.05;0.503;2.540;
19:16:21 13/06/2024;5.05;0.500;2.525;
19:16:21 13/06/2024;5.05;0.524;2.646;
19:16:22 13/06/2024;5.05;0.501;2.530;
19:16:22 13/06/2024;5.05;0.500;2.525;
19:16:23 13/06/2024;5.05;0.504;2.545;
19:16:23 13/06/2024;5.05;0.506;2.555;
19:16:24 13/06/2024;5.05;0.501;2.530;
19:16:24 13/06/2024;5.05;0.508;2.565;
19:16:25 13/06/2024;5.05;0.500;2.525;
19:16:25 13/06/2024;5.05;0.506;2.555;
19:16:26 13/06/2024;5.05;0.530;2.676;
19:16:26 13/06/2024;5.05;0.499;2.519;
19:16:27 13/06/2024;5.05;0.508;2.565;
19:16:27 13/06/2024;5.05;0.501;2.530;
19:16:28 13/06/2024;5.05;0.496;2.504;
19:16:28 13/06/2024;5.05;0.508;2.565;
19:16:29 13/06/2024;5.05;0.496;2.504;
19:16:29 13/06/2024;5.05;0.507;2.560;
19:16:30 13/06/2024;5.05;0.503;2.540;
19:16:30 13/06/2024;5.05;0.496;2.504;
19:16:31 13/06/2024;5.05;0.507;2.560;
19:16:31 13/06/2024;5.05;0.505;2.550;
19:16:32 13/06/2024;5.05;0.499;2.519;
19:16:32 13/06/2024;5.05;0.502;2.535;
19:16:33 13/06/2024;5.05;0.506;2.555;
19:16:33 13/06/2024;5.05;0.503;2.540;
19:16:34 13/06/2024;5.05;0.499;2.519;
19:16:34 13/06/2024;5.05;0.499;2.519;
19:16:35 13/06/2024;5.05;0.503;2.540;
19:16:35 13/06/2024;5.05;0.502;2.535;
19:16:36 13/06/2024;5.05;0.502;2.535;
19:16:36 13/06/2024;5.04;0.587;2.958;
19:16:37 13/06/2024;5.05;0.498;2.514;
19:16:37 13/06/2024;5.05;0.502;2.535;
19:16:38 13/06/2024;5.05;0.501;2.530;
19:16:38 13/06/2024;5.05;0.501;2.530;
19:16:39 13/06/2024;5.05;0.501;2.530;
19:16:39 13/06/2024;5.05;0.499;2.519;
19:16:40 13/06/2024;5.05;0.527;2.661;
19:16:40 13/06/2024;5.05;0.510;2.575;
19:16:41 13/06/2024;5.05;0.503;2.540;
19:16:41 13/06/2024;5.05;0.504;2.545;
19:16:42 13/06/2024;5.05;0.502;2.535;
19:16:42 13/06/2024;5.05;0.501;2.530;
19:16:43 13/06/2024;5.05;0.499;2.519;
19:16:43 13/06/2024;5.05;0.498;2.514;
19:16:44 13/06/2024;5.05;0.507;2.560;
19:16:44 13/06/2024;5.04;0.544;2.741;
19:16:45 13/06/2024;5.05;0.508;2.565;
19:16:45 13/06/2024;5.05;0.500;2.525;
19:16:46 13/06/2024;5.05;0.497;2.509;
19:16:46 13/06/2024;5.05;0.505;2.550;
19:16:47 13/06/2024;5.05;0.506;2.555;
19:16:47 13/06/2024;5.05;0.506;2.555;
19:16:48 13/06/2024;5.05;0.499;2.519;
19:16:48 13/06/2024;5.05;0.501;2.530;
19:16:49 13/06/2024;5.05;0.503;2.540;
19:16:49 13/06/2024;5.04;0.585;2.948;
19:16:50 13/06/2024;5.05;0.508;2.565;
19:16:50 13/06/2024;5.05;0.509;2.570;
19:16:51 13/06/2024;5.05;0.498;2.514;
19:16:51 13/06/2024;5.05;0.505;2.550;
19:16:52 13/06/2024;5.05;0.503;2.540;
19:16:52 13/06/2024;5.05;0.505;2.550;
19:16:53 13/06/2024;5.05;0.508;2.565;
19:16:53 13/06/2024;5.05;0.526;2.656;
19:16:54 13/06/2024;5.05;0.504;2.545;
19:16:54 13/06/2024;5.05;0.504;2.545;
19:16:55 13/06/2024;5.05;0.506;2.555;
19:16:55 13/06/2024;5.05;0.501;2.530;
19:16:56 13/06/2024;5.05;0.504;2.545;
19:16:56 13/06/2024;5.05;0.500;2.525;
19:16:57 13/06/2024;5.05;0.503;2.540;
19:16:58 13/06/2024;5.05;0.500;2.525;
19:16:58 13/06/2024;5.05;0.499;2.519;
19:16:59 13/06/2024;5.05;0.501;2.530;
19:16:59 13/06/2024;5.05;0.507;2.560;
19:17:00 13/06/2024;5.05;0.496;2.504;
19:17:00 13/06/2024;5.05;0.503;2.540;
19:17:01 13/06/2024;5.05;0.501;2.530;
19:17:01 13/06/2024;5.05;0.503;2.540;
19:17:02 13/06/2024;5.05;0.516;2.605;
19:17:02 13/06/2024;5.04;0.544;2.741;
19:17:03 13/06/2024;5.05;0.501;2.530;
19:17:03 13/06/2024;5.05;0.507;2.560;
19:17:04 13/06/2024;5.05;0.501;2.530;
19:17:04 13/06/2024;5.05;0.509;2.570;
19:17:05 13/06/2024;5.05;0.500;2.525;
19:17:05 13/06/2024;5.05;0.503;2.540;
19:17:06 13/06/2024;5.05;0.503;2.540;
19:17:06 13/06/2024;5.05;0.502;2.535;
19:17:07 13/06/2024;5.05;0.499;2.519;
19:17:07 13/06/2024;5.05;0.501;2.530;
19:17:08 13/06/2024;5.05;0.508;2.565;
19:17:08 13/06/2024;5.05;0.493;2.489;
19:17:09 13/06/2024;5.05;0.501;2.530;
19:17:09 13/06/2024;5.04;0.544;2.741;
19:17:10 13/06/2024;5.05;0.506;2.555;
19:17:10 13/06/2024;5.05;0.497;2.509;
19:17:11 13/06/2024;5.05;0.503;2.540;
19:17:11 13/06/2024;5.04;0.558;2.812;
19:17:12 13/06/2024;5.05;0.502;2.535;
19:17:12 13/06/2024;5.05;0.500;2.525;
19:17:13 13/06/2024;5.05;0.520;2.626;
19:17:13 13/06/2024;5.05;0.503;2.540;
19:17:14 13/06/2024;5.05;0.499;2.519;
19:17:14 13/06/2024;5.05;0.504;2.545;
19:17:15 13/06/2024;5.05;0.503;2.540;
19:17:15 13/06/2024;5.04;0.547;2.756;
19:17:16 13/06/2024;5.05;0.501;2.530;
19:17:16 13/06/2024;5.05;0.503;2.540;
19:17:17 13/06/2024;5.05;0.501;2.530;
19:17:17 13/06/2024;5.05;0.505;2.550;
19:17:18 13/06/2024;5.05;0.503;2.540;
19:17:18 13/06/2024;5.05;0.522;2.636;
19:17:19 13/06/2024;5.05;0.505;2.550;
19:17:19 13/06/2024;5.04;0.554;2.792;
19:17:20 13/06/2024;5.05;0.509;2.570;
19:17:20 13/06/2024;5.05;0.497;2.509;
19:17:21 13/06/2024;5.05;0.499;2.519;
19:17:21 13/06/2024;5.05;0.506;2.555;
19:17:22 13/06/2024;5.05;0.503;2.540;
19:17:22 13/06/2024;5.05;0.505;2.550;
19:17:23 13/06/2024;5.05;0.506;2.555;
19:17:23 13/06/2024;5.05;0.501;2.530;
19:17:24 13/06/2024;5.05;0.503;2.540;
